date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2018-06-28,01:55.94,Boshy,jump_supersereious_rc1,WR,IRC,,-00:05.14,,false,691529,,
2021-08-11,01:44.86,riot,jump_supersereious_rc1,WR,MapRecord,,-00:03.24,00:03.24,false,1666682,76561198065169685,[U:1:104903957]
2021-08-11,01:43.86,riot,jump_supersereious_rc1,WR,MapRecord,,-00:01.00,00:01.00,false,1666809,76561198065169685,[U:1:104903957]
2023-03-28,01:37.26,ondkaja,jump_supersereious_rc1,WR,MapRecord,,-00:06.60,00:07.09,false,2250099,76561198010123351,[U:1:49857623]
2024-11-23,01:32.35,makly,jump_supersereious_rc1,WR,IRC,,-00:04.90,,false,3143079,,
2026-01-09,01:30.68,th14 marisaB lif,jump_supersereious_rc1,WR,MapRecord,,-00:01.68,00:11.32,false,3709060,,
