date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2024-05-31,05:02.94,Hona,jump_odd_v2,WR,IRC,,-04:58.15,,false,2881662,,
2024-05-31,03:37.77,Waldo,jump_odd_v2,WR,IRC,,-00:14.92,,false,2881699,,
2024-05-31,03:30.28,vice,jump_odd_v2,WR,IRC,,-00:07.48,,false,2881847,,
2024-05-31,03:28.65,Matty,jump_odd_v2,WR,IRC,,-00:01.63,,false,2882090,,
2024-06-01,02:53.40,Hona,jump_odd_v2,WR,MapRecord,,-00:09.88,00:09.88,false,2883529,76561198221809496,[U:1:261543768]
2024-06-01,02:45.54,vice,jump_odd_v2,WR,IRC,,-00:07.86,,false,2883959,,
2024-06-01,02:41.65,Hona,jump_odd_v2,WR,IRC,,-00:03.88,,false,2884516,,
2025-10-18,02:40.71,:pregnant_man:,jump_odd_v2,WR,IRC,,-00:00.94,,false,3539030,,
