date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2020-04-29,02:01.44,aaa,jump_keep_final,WR,IRC,,-01:44.92,,false,1237729,,
2020-04-29,01:53.32,CrackuhJax,jump_keep_final,WR,IRC,,-00:00.63,,false,1237771,,
2020-05-01,01:38.58,CrackuhJax,jump_keep_final,WR,MapRecord,,-00:02.69,00:14.74,false,1239669,76561198066650704,[U:1:106384976]
2020-05-15,01:33.46,tomato tom,jump_keep_final,WR,MapRecord,,-00:05.11,00:38.38,false,1250859,,
2020-08-18,01:19.06,un gato ˄˅,jump_keep_final,WR,MapRecord,,-00:14.39,00:23.78,false,1329699,76561198066351321,[U:1:106085593]
2023-11-07,01:17.70,newjuls,jump_keep_final,WR,MapRecord,,-00:01.37,00:03.04,false,2581049,76561198396018338,[U:1:435752610]
2024-02-29,01:16.26,conorbb,jump_keep_final,WR,IRC,,-00:01.44,,false,2753228,,
2024-04-16,01:15.46,Meti,jump_keep_final,WR,IRC,,-00:00.79,,false,2818761,,
2024-05-28,01:13.84,Meti,jump_keep_final,WR,IRC,,-00:01.62,,false,2877175,,
