date,record_time,player,map,record_type,source,run_time,split,improvement,inferred,demo_id,steam_id64,steam_id
2017-11-28,04:08.43,busty elven drag,jump_diabarha_b2,WR,MapRecord,,-06:51.68,,false,513282,,
2017-11-28,03:21.11,Starkie,jump_diabarha_b2,WR,IRC,,-00:47.31,,false,513286,,
2017-11-29,02:33.26,Starkie,jump_diabarha_b2,WR,MapRecord,,-00:19.87,00:19.87,false,514154,76561198008003429,[U:1:47737701]
2018-01-21,02:19.09,Zike1017 ツ,jump_diabarha_b2,WR,MapRecord,,-00:14.17,00:14.92,false,557386,76561198050366275,[U:1:90100547]
2019-12-18,02:13.12,reero | pootis.o,jump_diabarha_b2,WR,MapRecord,,-00:05.97,00:16.00,false,1126677,,
2021-09-02,01:57.72,Matty,jump_diabarha_b2,WR,IRC,,-00:02.22,,false,1692051,,
2022-10-16,01:46.74,penis,jump_diabarha_b2,WR,MapRecord,,-00:02.20,00:04.60,false,2089304,76561198035204545,[U:1:74938817]
